;x;y;Stufe;LT.C2.Fibel;Glasarmring.gerippt;Glasarmring.genoppt;Gürtelkette;Fingerring.mehrfach.gewickelt.plastisch;LT.C1.Fibel;Glasarmring.Fadenauflage;Ring..Fuss..Armring.Blech.um.Eisen.Ton;Hohlbuckelarmringe;Schaukelfingerringe;LT.B2.Fibel;Arm..Fussring.genoppt..plastisch..Vollguss;Arm..Fussring.plastisch.gerippt;Fingerring.flachblech;Kette;Armreif.mit.Korallenauflage;Lanze;LT.B1.Fibel;Schwert;Arm..Fussring.vollguss.massiv;Arm..Fussringe.gerippt.dicht;Draht.Fingerring.runder.QS;Certosafibel;Bernsteinkette;Halsring.plastisch..vollguss;Halsring.hohlblech..geritzt;Glasperlen;Arm..Fussring.einfach.od..geritzt..hohl;LT.A.Fibel;Halsring.m..Muffen;Arm..Fussring.gerippt.vollguss;Hirschgeweih;Armring.mit.Muffen;Arm.Fussring.einfach..vollguss.lochverschluss..Steckverschluss;Halsring.einfach.geritzt..Vollguss
6;855.04663;-567.66854;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;4;4;1;0;1;0;2;0
9;970.24041;-652.27991;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;1
12;865.92038;-715.22872;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;3;0;2;1;0;0;0
23;960.72588;-760.33779;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;2;3;0;0;0;0;0;1
28;952.91038;-802.13376;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
31;849.26995;-897.36402;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
32;913.49303;-883.09223;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;2
40;1135.38548;-835.43462;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1;0;4;2;0;0;0;0;0;0
44;1142.86119;-867.03646;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0
46;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0
48;1118.05545;-727.46169;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0
49;1068.44396;-662.559;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
51;1079.99732;-952.58228;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;1;1;0;0;0;0;3;0
61;961.06569;-1157.8243;3;0;0;0;0;0;0;0;0;0;0;4;0;2;1;0;1;0;7;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0
62;1035.48291;-1211.17363;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;0;4;2;1;2;1;0;0;5;0;0;0;0;0;0;0;0
68;924.70659;-1431.45201;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;6;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;996.06557;-1487.43483;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
75;964.12393;-1396.11233;3;0;0;0;0;0;0;0;1;1;1;7;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;1038.88096;-1363.83088;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
80;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
81;1065.38572;-1396.79194;3;0;0;0;0;0;0;0;0;0;0;3;1;4;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;1177.18146;-1321.3553;3;0;0;0;0;0;0;0;0;0;1;2;1;4;1;0;0;0;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
86;1209.4629;-1303.4306;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;1283.54032;-1378.44248;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;1240.38513;-1195.88242;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;1319.21981;-1326.19752;3;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;1373.24875;-1497.28917;3;0;0;0;0;0;0;0;0;0;0;3;0;4;1;0;1;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;1357.8896;-1612.7415;3;0;0;0;0;0;0;0;0;0;0;8;1;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134;1464.3164;-1655.893;3;0;0;0;0;0;0;0;0;0;0;3;1;4;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
135;1385.48172;-1674.58225;3;0;0;0;0;0;0;0;0;0;1;2;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136;1407.90883;-1722.49471;3;0;0;0;0;0;0;0;0;0;1;2;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140;1447.66597;-1769.55766;3;0;0;0;0;0;0;0;0;0;1;5;1;4;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
145;1532.27734;-1875.83157;3;0;0;0;0;0;0;0;0;1;1;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
149;1443.58832;-1869.71508;4;0;0;0;1;0;1;0;1;2;4;15;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
157;1499.99589;-2084.30173;4;0;0;0;0;1;0;0;0;1;2;13;0;4;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
